player,matches,goals,penalties,rateExcPen,rateIncPen
Lángara,90,104,4,1.1111111111111112,1.1555555555555554
Sañudo,47,47,0,1,1
Urtizberea,71,70,0,0.9859154929577465,0.9859154929577465
John Charles,40,37,0,0.925,0.925
Bata,118,108,0,0.9152542372881356,0.9152542372881356
Zarra,277,251,8,0.8772563176895307,0.9061371841155235
Lionel Messi *,586,529,63,0.7952218430034129,0.9027303754266212
Pruden,103,91,2,0.8640776699029126,0.883495145631068
Ferenc Puskás,221,192,24,0.7601809954751131,0.8687782805429864
Gerd Müller,501,430,55,0.7485029940119761,0.8582834331337326
Vergara,34,29,1,0.8235294117647058,0.8529411764705882
Mundo,231,195,2,0.8354978354978355,0.8441558441558441
Alday,80,66,0,0.825,0.825
Carlos Bianchi,220,179,24,0.7045454545454546,0.8136363636363636
Martín,130,105,0,0.8076923076923077,0.8076923076923077
Cristiano Ronaldo *,679,542,93,0.6612665684830633,0.7982326951399117
Echevarria,81,64,0,0.7901234567901234,0.7901234567901234
Ted Farmer,57,44,0,0.7719298245614035,0.7719298245614035
Ahmed Oudjani,61,47,0,0.7704918032786885,0.7704918032786885
Lex Schoenmaker,33,25,2,0.696969696969697,0.7575757575757576
Josip Skoblar,262,198,9,0.7213740458015268,0.7557251908396947
Pahiño,278,210,7,0.7302158273381295,0.7553956834532374
Martínez Català,49,37,0,0.7551020408163265,0.7551020408163265
Bora Kostić,35,26,0,0.7428571428571429,0.7428571428571429
Duque,35,26,0,0.7428571428571429,0.7428571428571429
Roger Claessen,31,23,0,0.7419354838709677,0.7419354838709677
Eusébio,72,53,3,0.6944444444444444,0.7361111111111112
Timo Konietzka,121,88,0,0.7272727272727273,0.7272727272727273
Ruud Geels,36,26,1,0.6944444444444444,0.7222222222222222
Del Pino,102,73,0,0.7156862745098039,0.7156862745098039
Alfredo Di Stéfano,387,276,18,0.6666666666666666,0.7131782945736435
Rob Rensenbrink,45,32,6,0.5777777777777777,0.7111111111111111
David Layne,74,52,2,0.6756756756756757,0.7027027027027027
Victor Unamuno,144,101,1,0.6944444444444444,0.7013888888888888
Włodzimierz Lubański,43,30,3,0.627906976744186,0.6976744186046512
Nat Lofthouse,115,80,0,0.6956521739130435,0.6956521739130435
Gorostiza,256,178,10,0.65625,0.6953125
Jimmy Greaves,528,367,30,0.6382575757575758,0.6950757575757576
Tommy Taylor,78,54,0,0.6923076923076923,0.6923076923076923
Badenes,201,139,1,0.6865671641791045,0.6915422885572139
Robert Lewandowski *,369,255,31,0.6070460704607046,0.6910569105691057
Radamel Falcao *,231,158,29,0.5584415584415584,0.683982683982684
Len White,169,115,0,0.6804733727810651,0.6804733727810651
Arocha,80,54,5,0.6125,0.675
Jorge Sosa,43,29,0,0.6744186046511628,0.6744186046511628
Zoran Filipović,58,39,1,0.6551724137931034,0.6724137931034483
Iraragorri,140,94,4,0.6428571428571429,0.6714285714285714
Olivares,82,55,2,0.6463414634146342,0.6707317073170732
Bebeto,148,99,8,0.6148648648648649,0.668918918918919
John McCole,33,22,4,0.5454545454545454,0.6666666666666666
Samitier,36,24,0,0.6666666666666666,0.6666666666666666
Delio Onnis,449,299,42,0.5723830734966593,0.6659242761692651
Lothar Emmerich,194,129,10,0.6134020618556701,0.6649484536082474
Araujo,205,136,0,0.6634146341463415,0.6634146341463415
Romário,89,59,1,0.651685393258427,0.6629213483146067
Bobby Smith,275,182,1,0.6581818181818182,0.6618181818181819
Hermida,159,105,9,0.6037735849056604,0.660377358490566
Hugo Sánchez,392,258,62,0.5,0.6581632653061225
Luis Suárez *,353,232,11,0.6260623229461756,0.6572237960339944
Ray Crawford,208,136,0,0.6538461538461539,0.6538461538461539
Harry Kane *,225,147,19,0.5688888888888889,0.6533333333333333
Salif Keïta,243,158,6,0.6255144032921811,0.6502057613168725
Evaristo,170,110,1,0.6411764705882353,0.6470588235294118
Ronaldo,323,209,26,0.56656346749226,0.6470588235294118
Campanal,157,101,2,0.6305732484076433,0.643312101910828
Ladislav Kubala,236,151,30,0.5127118644067796,0.6398305084745762
Elícegui,97,62,1,0.6288659793814433,0.6391752577319587
César Rodríguez,353,225,18,0.5864022662889519,0.6373937677053825
Tommy Thompson,154,98,0,0.6363636363636364,0.6363636363636364
Andrzej Szarmach,148,94,16,0.527027027027027,0.6351351351351351
Flórián Albert,52,33,1,0.6153846153846154,0.6346153846153846
Ruud van Nistelrooy,319,201,31,0.5329153605015674,0.6300940438871473
Hans Krankl,89,56,8,0.5393258426966292,0.6292134831460674
Neymar *,213,134,19,0.539906103286385,0.6291079812206573
Raimundo,70,44,0,0.6285714285714286,0.6285714285714286
Marco van Basten,183,115,25,0.4918032786885246,0.6284153005464481
Jupp Heynckes,433,271,15,0.5912240184757506,0.625866050808314
Sergey Yuran,32,20,0,0.625,0.625
Luis Regueiro,145,90,5,0.5862068965517241,0.6206896551724138
Campos,205,127,4,0.6,0.6195121951219512
Willie Irvine,126,78,0,0.6190476190476191,0.6190476190476191
Chas,102,63,0,0.6176470588235294,0.6176470588235294
Edinson Cavani *,473,291,43,0.5243128964059197,0.6152219873150105
Vilanova,96,59,0,0.6145833333333334,0.6145833333333334
Peter Meyer,44,27,0,0.6136363636363636,0.6136363636363636
Faas Wilkes,62,38,3,0.5645161290322581,0.6129032258064516
Gordon Turner,139,85,3,0.5899280575539568,0.6115107913669064
Zlatan Ibrahimović *,476,290,54,0.4957983193277311,0.6092436974789915
Kylian Mbappé *,120,73,1,0.6,0.6083333333333333
Horst Hrubesch,260,158,7,0.5807692307692308,0.6076923076923076
Gaspar Rubio,61,37,0,0.6065573770491803,0.6065573770491803
Sándor Kocsis,106,64,0,0.6037735849056604,0.6037735849056604
Liam Whelan,73,44,0,0.6027397260273972,0.6027397260273972
Murillo,231,139,6,0.5757575757575758,0.6017316017316018
