rank,player,teams,matches,goals,penalties,rate
1,Rob Rensenbrink,"RSC Anderlecht
																				Club Brugge KV",35,25,4,0.71
2,Gerd Müller,Bayern München,25,20,3,0.80
,Gianluca Vialli,"Chelsea FC
																				Sampdoria",35,20,3,0.57
4,François van der Elst,RSC Anderlecht,30,18,1,0.60
5,Roger Claessen,Standard LiègeK. Beerschot VAC,23,17,0,0.74
,Hans Krankl,"FC Barcelona
																				Rapid Wien",33,17,2,0.52
7,Kurt Hamrin,"AC Milan
																				ACF Fiorentina",23,16,1,0.70
,Mendonça,"FC Barcelona
																				Atlético Madrid",23,16,0,0.70
9,Włodzimierz Lubański,Górnik Zabrze,17,15,2,0.88
,Hristo Stoichkov,"Parma Calcio 1913
																				FC Barcelona
																				CSKA Sofia",28,15,2,0.54
11,Klaus Allofs,"Werder Bremen
																				1. FC Köln
																				Fortuna Düsseldorf
																				Olympique Marseille",39,14,0,0.36
,Lothar Emmerich,Borussia Dortmund,11,14,1,1.27
,Peter Osgood,"Chelsea FC
																				Southampton FC",17,14,0,0.82
,Bernd Schuster,"Bayer Leverkusen
																				FC Barcelona
																				Atlético Madrid",28,14,0,0.50
15,Luciano Chiarugi,"AC Milan
																				SSC Napoli
																				ACF Fiorentina",21,13,0,0.62
,Kiril Milanov,Levski Sofia,6,13,2,2.17
,Uwe Seeler,Hamburger SV,15,13,1,0.87
,Ian Wright,Arsenal FC,15,13,2,0.87
19,John Bosman,"KV Mechelen
																				AFC Ajax",25,12,2,0.48
,Allan Simonsen,"Bor. Mönchengladbach
																				FC Barcelona",18,12,1,0.67
,John Toshack,"Cardiff City
																				Swansea City",24,12,0,0.50
22,Fleury Di Nallo,Olympique Lyon,21,11,0,0.52
,Domingos Mascarenhas,Sporting CP,11,11,0,1.00
,Mario Kempes,Valencia CF,13,11,2,0.85
,Mark McGhee,Aberdeen FC,19,11,0,0.58
,Santillana,Real Madrid,13,11,0,0.85
,Willy van der Kuijlen,PSV Eindhoven,20,11,1,0.55
28,Alessandro Altobelli,Inter,11,10,2,0.91
,Georgi Asparuchov,"Levski Sofia
																				Botev Plovdiv",12,10,0,0.83
,Oleg Blokhin,Dinamo Kiev,18,10,0,0.56
,Jean-Paul Brigger,"FC Sion
																				Servette Genève",19,10,0,0.53
,Nestor Combin,Olympique Lyon,11,10,1,0.91
,János Göröcs,Újpest FC,12,10,0,0.83
,Jimmy Greaves,Tottenham Hotspur,12,10,1,0.83
,Francis Lee,Manchester City,18,10,1,0.56
,Osvaldo da Silva,"Sporting CP
																				Leixões SC",15,10,0,0.67
,Ramaz Shengelia,Dinamo Tbilisi,17,10,2,0.59
38,Roberto Baggio,Juventus,8,9,3,1.13
,Zoran Filipović,Crvena Zvezda,8,9,0,1.13
,Lárus Guðmundsson,KFC Uerdingen 05K Waterschei SV Thor Genk,14,9,0,0.64
,Peter King,Cardiff City,32,9,0,0.28
,Henrik Larsson,Feyenoord,13,9,1,0.69
,Jimmy Millar,Rangers FC,10,9,0,0.90
,Georg Volkert,"Hamburger SV
																				FC Zürich",14,9,3,0.64
,Héctor Yazalde,Sporting CP,13,9,1,0.69
