rank,player,teams,matches,goals,penalties,rate
1,Lionel Messi *,FC Barcelona,451,417,51,0.92
2,Cristiano Ronaldo *,Real Madrid,292,311,61,1.07
3,Zarra,Athletic Bilbao,277,251,8,0.91
4,Hugo Sánchez,"Real Madrid
																				Rayo Vallecano
																				Atlético Madrid",347,234,55,0.67
5,Raúl,Real Madrid,550,228,9,0.41
6,Alfredo Di Stéfano,"Espanyol Barcelona
																				Real Madrid",329,227,15,0.69
7,César Rodríguez,"FC Barcelona
																				Elche CF
																				Granada CF
																				CD Leonesa",353,225,18,0.64
8,Quini,"FC Barcelona
																				Sporting Gijón",448,219,30,0.49
9,Pahiño,"Deportivo La Coruña
																				Real Madrid
																				Celta Vigo",278,210,7,0.76
10,Mundo,"Valencia CF
																				CD Alcoyano",231,195,2,0.84
11,Santillana,Real Madrid,461,186,2,0.40
12,David Villa *,"Real Zaragoza
																				FC Barcelona
																				Valencia CF
																				Atlético Madrid",352,185,30,0.53
13,Arza,Sevilla FC,347,181,9,0.52
14,Gorostiza,"Athletic Bilbao
																				Valencia CF",256,178,10,0.70
15,Samuel Eto'o *,"RCD Mallorca
																				FC Barcelona",280,162,17,0.58
16,Luis Aragonés,"Real Betis
																				Atlético Madrid
																				Real Oviedo",360,160,25,0.44
17,Aduriz *,"RCD Mallorca
																				Athletic Bilbao
																				Valencia CF",427,157,24,0.37
18,Ferenc Puskás,Real Madrid,180,156,21,0.87
19,Julio Salinas,"Deportivo La Coruña
																				Athletic Bilbao
																				FC Barcelona
																				CD Alavés
																				Atlético Madrid
																				Sporting Gijón",417,152,3,0.36
20,Escudero,Atlético Madrid,287,150,12,0.52
21,Karim Benzema *,Real Madrid,311,148,5,0.48
22,Dani,Athletic Bilbao,303,147,34,0.49
,Raúl Tamudo,"Espanyol Barcelona
																				Real Sociedad
																				Rayo Vallecano",407,147,27,0.36
24,Igoa,"Real Sociedad
																				Valencia CF",284,141,4,0.50
25,Badenes,"Real Valladolid
																				FC Barcelona
																				Valencia CF
																				Sporting Gijón
																				CD Castellón",201,139,1,0.69
,Bakero,"Real Sociedad
																				FC Barcelona",483,139,1,0.29
27,Ladislav Kubala,"Espanyol Barcelona
																				FC Barcelona",215,138,27,0.64
28,Araujo,Sevilla FC,205,136,0,0.66
29,Antoine Griezmann *,"Real Sociedad
																				Atlético Madrid",319,134,6,0.42
,Panizo,Athletic Bilbao,325,134,11,0.41
31,Satrústegui,Real Sociedad,297,133,0,0.45
32,Murillo,"Real Valladolid
																				Real Zaragoza",227,132,6,0.58
33,Luis Suárez *,FC Barcelona,163,131,8,0.80
